Name,Local authority,Zone,Opening,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,POP-Density-1841,POP-Density-1851,POP-Density-1861,POP-Density-1871,POP-Density-1881,POP-Density-1891,POP-Density-1901,POP-Density-1911,POP-Density-1921,POP-Density-1931,POP-Density-1941,POP-Density-1951,POP-Density-1961,POP-Density-1971,POP-Density-1981,POP-Density-1991,POP-Density-2001,Distance to City of London (miles),"North of Thames [1,0]",NorthDistance,SouthDistance,Areasqkm,ID-Rail,CumulativeRailStationsAtDate,ID-Tube,CumulativeTubeStationsAtDate,PopDensityAtDate,PopDensRank1841
Raynes Park railway station,Merton,4,1838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,3,2,9999,0,196,23
Surbiton railway station,Kingston,6,1838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,324,324,533,742,951,1184,1475,1838,2133,2476,3089,3854,3824,3795,3523,3690,13,0,0,13,37,3,3,9999,0,257,17
West Drayton railway station,Hillingdon,6,1838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,162,162,179,195,212,230,281,344,507,749,1186,1881,1954,2030,1956,2046,19,1,19,0,116,3,1,9999,0,158,26
Wimbledon station,Merton,3,1838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,195,195,375,556,736,1099,1682,2576,3250,4102,4630,5227,4974,4733,4390,4568,9,0,0,9,38,3,2,9999,0,196,23
Anerley railway station,Bromley,4,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,4,2,9999,0,99,32
Forest Gate railway station,Newham,3,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,4,2,9999,0,490,14
Forest Hill railway station,Lewisham,3,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,4,4,9999,0,927,11
Hanwell railway station,Ealing,4,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,4,3,9999,0,197,22
Ilford railway station,Redbridge,4,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,176,176,291,406,521,909,1376,2087,2698,3489,4093,4802,4513,4243,3984,4099,10,1,10,0,56,4,1,9999,0,165,24
New Cross Gate station,Lewisham,2,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,4,4,9999,0,927,11
Penge West railway station,Bromley,4,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,4,2,9999,0,99,32
Romford railway station,Havering,6,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,102,102,114,127,139,170,221,289,443,678,1063,1666,1919,2210,2136,2071,18,1,18,0,112,4,1,9999,0,95,33
Southall railway station,Ealing,4,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,4,3,9999,0,197,22
Stratford railway station,Newham,3,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,4,2,9999,0,490,14
Sydenham railway station,Lewisham,3,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,4,4,9999,0,927,11
West Croydon railway station,Croydon,5,1839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,4,1,9999,0,215,21
Angel Road railway station,Enfield,4,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,5,2,9999,0,220,20
Limehouse station,Tower Hamlets,2,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,5,6,9999,0,13923,3
Northumberland Park railway station,Haringey,3,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,5,2,9999,0,256,18
Ponders End railway station,Enfield,5,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,5,2,9999,0,220,20
Tottenham Hale railway station,Haringey,3,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,5,2,9999,0,256,18
Bishopsgate railway station,City of London,,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,5,1,9999,0,49044,1
Blackwall railway station,Tower Hamlets,,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,5,6,9999,0,13923,3
Chelsea and Fulham railway station,Hammersmith and Fulham,2,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404,1830,1830,3510,5190,6870,11302,13644,16474,16823,17180,15776,14486,12875,11444,8818,9517,6,1,6,0,16,5,2,9999,0,1404,10
Lea Bridge railway station,Hackney,,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,5,1,9999,0,3581,9
Limehouse (L&BR) railway station,Tower Hamlets,,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,5,6,9999,0,13923,3
Poplar railway station,Tower Hamlets,,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,5,6,9999,0,13923,3
St. Quintin Park and Wormwood Scrubs railway station,Kensington and Chelsea,,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3859,5720,5720,10621,15522,20423,21271,20632,20023,20082,20140,19240,18396,16950,15628,10379,11968,5,1,5,0,12,5,1,9999,0,3859,8
West India Docks railway station,Tower Hamlets,,1840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,5,6,9999,0,13923,3
East Croydon railway station,Croydon,5,1841,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,6,5,9999,0,253,21
Fenchurch Street railway station,City of London,1,1841,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,6,2,9999,0,51052,1
Norwood Junction railway station,Croydon,4,1841,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,6,5,9999,0,253,21
Purley railway station,Croydon,6,1841,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,6,5,9999,0,253,21
Cannon Street Road railway station,City of London,,1842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,51052,51052,41568,32085,22602,16878,12557,9343,7525,6061,4200,2911,2199,1663,1770,1485,0,1,0,0,3,7,3,9999,0,51052,1
Mile End railway station,Tower Hamlets,,1843,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,7,6,9999,0,16720,3
Cheam railway station,Sutton,5,1844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,147,147,269,392,515,636,900,1273,1722,2329,3056,4010,3941,3874,3821,3908,15,0,0,15,44,8,1,9999,0,147,28
Hatch End railway station,Harrow,6,1844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,118,118,147,176,204,242,449,833,1277,1955,2905,4316,4169,4028,3886,4037,15,1,15,0,50,8,2,9999,0,118,30
Putney railway station,Wandsworth,2,1844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,883,883,2177,3470,4764,7105,8934,11234,11528,11831,10947,10129,9430,8781,7363,7737,7,0,0,7,34,8,3,9999,0,883,13
Wembley Central station,Brent,4,1844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,131,131,341,552,762,1565,2442,3812,4682,5751,6426,7180,6818,6476,5811,5749,12,1,12,0,43,8,1,9999,0,131,29
Bricklayers' Arms railway station,Southwark,,1844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5093,5790,5790,9834,13879,17923,19993,20037,20081,19290,18531,14734,11716,10299,9054,7269,7870,1,0,0,1,29,8,3,9999,0,5790,6
Kingston railway station,Kingston,6,1845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,324,324,533,742,951,1184,1475,1838,2133,2476,3089,3854,3824,3795,3523,3690,13,0,0,13,37,9,4,9999,0,324,17
Barnes station,Richmond,3,1846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,10,3,9999,0,501,15
Canning Town station,Newham,3,1846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,10,4,9999,0,687,14
Mortlake railway station,Richmond,3,1846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,10,3,9999,0,501,15
Richmondstation,Richmond,4,1846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,10,3,9999,0,501,15
Wandsworth Town railway station,Wandsworth,2,1846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,883,883,2177,3470,4764,7105,8934,11234,11528,11831,10947,10129,9430,8781,7363,7737,7,0,0,7,34,10,3,9999,0,883,13
Stratford Market railway station,Newham,,1846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,10,4,9999,0,687,14
North Woolwich railway station,Newham,3,1847,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,11,5,9999,0,687,14
Sutton railway station,Sutton,5,1847,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,147,147,269,392,515,636,900,1273,1722,2329,3056,4010,3941,3874,3821,3908,15,0,0,15,44,11,4,9999,0,147,28
Waddon railway station,Croydon,5,1847,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,11,6,9999,0,253,21
Wallington railway station,Sutton,5,1847,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,147,147,269,392,515,636,900,1273,1722,2329,3056,4010,3941,3874,3821,3908,15,0,0,15,44,11,4,9999,0,147,28
Feltham railway station,Hounslow,6,1848,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,413,413,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,12,1,9999,0,413,16
Twickenham railway station,Richmond,5,1848,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,501,501,700,899,1098,1391,1807,2347,2664,3025,3265,3523,3273,3042,2740,2861,12,0,0,12,57,12,4,9999,0,501,15
Vauxhall station,Lambeth,1,1848,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,12,2,9999,0,5912,7
Waterloo station,Lambeth,1,1848,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,12,2,9999,0,5912,7
Abbey Wood railway station,Greenwich,4,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,13,6,9999,0,1102,12
Blackheath railway station,Greenwich,3,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,13,6,9999,0,1102,12
Brentford railway station,Hounslow,4,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,413,413,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,13,5,9999,0,413,16
Charlton railway station,Greenwich,3,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,13,6,9999,0,1102,12
Chiswick railway station,Hounslow,4,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,413,413,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,13,5,9999,0,413,16
Enfield Town railway station,Enfield,5,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,13,3,9999,0,229,20
Erith railway station,Bexley,6,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,181,181,272,363,454,590,775,1017,1284,1621,2309,3291,3437,3589,3539,3623,14,0,0,14,61,13,1,9999,0,181,25
Hounslow railway station,Hounslow,,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,413,413,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,13,5,9999,0,413,16
Kew Bridge railway station,Hounslow,,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,413,413,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,13,5,9999,0,413,16
Lewisham station,Lewisham,2,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,13,6,9999,0,1183,11
Plumstead railway station,Greenwich,,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,13,6,9999,0,1102,12
St Johns railway station,Lewisham,,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,13,6,9999,0,1183,11
Woolwich Arsenal railway station,Greenwich,4,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,13,6,9999,0,1102,12
Woolwich Dockyard railway station,Greenwich,3,1849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1102,1102,1580,2057,2535,3681,3908,4149,4510,4903,4812,4724,4653,4583,4432,4509,6,0,0,6,47,13,6,9999,0,1102,12
Caledonian Road & Barnsbury railway station,Islington,2,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,14,3,9999,0,14407,4
Hackney Central railway station,Hackney,2,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,14,3,9999,0,4982,9
Hornsey railway station,Haringey,3,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,296,296,1171,2046,2921,5360,6902,8888,9460,10069,9589,9132,8602,8105,6848,7152,6,1,6,0,30,14,3,9999,0,296,18
Isleworth railway station,Hounslow,4,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,413,413,588,764,940,1176,1531,1993,2373,2825,3270,3786,3736,3688,3554,3734,16,1,16,0,56,14,5,9999,0,413,16
New Cross station,Lewisham,2,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,1183,1183,2189,3196,4202,4928,6182,7755,8507,9332,8960,8604,8120,7664,6558,6846,7,0,0,7,35,14,7,9999,0,1183,11
New Southgate railway station,Barnet,4,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,153,153,261,370,479,674,977,1418,1951,2683,3140,3675,3596,3520,3346,3458,12,1,12,0,87,14,1,9999,0,153,27
Bow railway station,Tower Hamlets,,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,14,9,9999,0,16720,3
Maiden Lane (Great Northern Railway) railway station,Islington,,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,14,3,9999,0,14407,4
Maiden Lane (North London Railway) railway station,Islington,,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10950,14407,14407,17901,21395,24889,26770,27275,27789,26989,26212,21813,18152,15630,13460,10600,11668,2,1,2,0,15,14,3,9999,0,14407,4
Old Ford railway station,Tower Hamlets,,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,14,9,9999,0,16720,3
Poplar (East India Dock Road) railway station,Tower Hamlets,,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13923,16720,16720,20744,24767,28791,29587,29243,28904,26763,24783,17085,11778,9906,8331,7081,8497,1,1,1,0,20,14,9,9999,0,16720,3
South Bromley railway station,Bromley,,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,14,3,9999,0,114,32
Victoria Park railway station,Hackney,,1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,4982,4982,9044,13107,17169,19371,19629,19891,19332,18789,16028,13674,12619,11646,9420,9853,4,1,4,0,19,14,3,9999,0,4982,9
Kilburn High Road railway station,Camden,2,1852,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,15,3,9999,0,12394,5
King's Cross railway station,Camden,1,1852,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,15,3,9999,0,12394,5
Acton Central railway station,Ealing,2,1853,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,206,206,441,676,911,1224,1899,2947,3430,3994,4669,5457,5434,5413,5018,5074,10,1,10,0,56,16,4,9999,0,206,22
Barking station,Barking and Dagenham,4,1854,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,133,133,166,198,231,462,695,1046,1876,3364,3966,4675,4562,4452,4128,4050,9,1,9,0,36,17,2,9999,0,133,31
Crystal Palace railway station,Bromley,4,1854,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,114,114,221,327,433,564,663,778,939,1133,1444,1841,1932,2027,1962,1963,11,0,0,11,150,17,4,9999,0,114,32
Dagenham Dock railway station,Barking and Dagenham,5,1854,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,133,133,166,198,231,462,695,1046,1876,3364,3966,4675,4562,4452,4128,4050,9,1,9,0,36,17,2,9999,0,133,31
Rainham railway station,Havering,6,1854,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,102,102,114,127,139,170,221,289,443,678,1063,1666,1919,2210,2136,2071,18,1,18,0,112,17,2,9999,0,102,33
Custom House railway station,Newham,3,1855,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,687,687,1915,3143,4371,7155,9346,12208,12371,12537,10423,8665,7506,6502,5774,6106,6,1,6,0,36,18,6,9999,0,687,14
Enfield Lock railway station,Enfield,6,1855,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,229,229,326,423,520,834,1254,1885,2157,2469,2962,3554,3405,3263,3129,3201,11,1,11,0,82,18,4,9999,0,229,20
Primrose Hill railway station,Camden,,1855,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,12394,12394,13826,15258,16689,17271,16632,16018,15386,14780,13163,11723,10603,9592,7390,8325,4,1,4,0,22,18,4,9999,0,12394,5
Gipsy Hill railway station,Lambeth,3,1856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,5912,5912,7616,9319,11023,12402,13323,14312,14496,14682,13273,11998,11752,11512,9103,9560,3,0,0,3,27,19,4,9999,0,5912,7
Kenley railway station,Croydon,6,1856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,253,253,488,723,958,1252,1640,2149,2562,3055,3251,3459,3653,3860,3656,3690,12,0,0,12,87,19,7,9999,0,253,21
