administrative_district,year,population_density,log_popdens,normalized_local_density,normalized_london_density,share_of_london_pop,tubestationsperperson,map_code,tube_stations_add,tube_stations_cum,train_stations,tube_station_density,train_station_density,area,population,ring,year_1801,year_1811,year_1821,year_1831,year_1841,year_1851,year_1861,year_1871,year_1881,year_1891,year_1901,year_1911,year_1921,year_1931,year_1941,year_1951,year_1961,year_1971,year_1981,year_1991,year_2001,barking_and_dagenham,barnet,bexley,brent,bromley,camden,city_of_london,croydon,ealing,enfield,greenwich,hackney,hammersmith_and_fulham,haringey,harrow,havering,hillingdon,hounslow,islington,kensington_and_chelsea,kingston_upon_thames,lambeth,lewisham,merton,newham,redbridge,richmond_upon_thames,southwark,sutton,tower_hamlets,waltham_forest,wandsworth,westminster,logtsd,pop_dens_10yearsago,pop_dens_20yearsago,pop_dens_10yearsfuture,pop_dens_20yearsfuture
Brent,1941,6426,8.77,0.89,0.13,0.03,0,12,5,21,,0.4856614,,43.24,277842,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3958601,5751,4682,7180,6818
Brent,1951,7180,8.88,1,0.14,0.04,0,12,0,21,,0.4856614,,43.24,310457,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3958601,6426,5751,6818,6476
Brent,1961,6818,8.83,0.95,0.13,0.04,0,12,0,21,,0.4856614,,43.24,294804,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3958601,7180,6426,6476,5811
Brent,1971,6476,8.78,0.9,0.13,0.04,0,12,0,21,,0.4856614,,43.24,280009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3958601,6818,7180,5811,5749
Brent,1981,5811,8.67,0.81,0.11,0.04,0,12,0,21,,0.4856614,,43.24,251249,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3958601,6476,6818,5749,6093
Brent,1991,5749,8.66,0.8,0.11,0.04,0,12,0,21,,0.4856614,,43.24,248569,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3958601,5811,6476,6093,0
Brent,2001,6093,8.71,0.85,0.12,0.04,0,12,0,21,,0.4856614,,43.24,263463,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3958601,5749,5811,0,0
Bromley,1801,60,4.09,0.03,0,0.01,0,20,0,0,,0,,150.15,8944,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,76
Bromley,1811,68,4.22,0.03,0,0.01,0,20,0,0,,0,,150.15,10186,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,76,89
Bromley,1821,76,4.33,0.04,0,0.01,0,20,0,0,,0,,150.15,11455,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,60,89,99
Bromley,1831,89,4.48,0.04,0,0.01,0,20,0,0,,0,,150.15,13302,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,68,99,114
Bromley,1841,99,4.6,0.05,0,0.01,0,20,0,0,,0,,150.15,14878,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,76,114,221
Bromley,1851,114,4.74,0.06,0,0.01,0,20,0,0,,0,,150.15,17192,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,89,221,327
Bromley,1861,221,5.4,0.11,0,0.01,0,20,0,0,,0,,150.15,33144,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,99,327,433
Bromley,1871,327,5.79,0.16,0.01,0.01,0,20,0,0,,0,,150.15,49095,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,114,433,564
Bromley,1881,433,6.07,0.21,0.01,0.01,0,20,0,0,,0,,150.15,65046,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,221,564,663
Bromley,1891,564,6.34,0.28,0.01,0.02,0,20,0,0,,0,,150.15,84729,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,327,663,778
Bromley,1901,663,6.5,0.33,0.01,0.02,0,20,0,0,,0,,150.15,99502,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,433,778,939
Bromley,1911,778,6.66,0.38,0.02,0.02,0,20,0,0,,0,,150.15,116851,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,564,939,1133
Bromley,1921,939,6.84,0.46,0.02,0.02,0,20,0,0,,0,,150.15,140960,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,663,1133,1444
Bromley,1931,1133,7.03,0.56,0.02,0.02,0,20,0,0,,0,,150.15,170073,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939,778,1444,1841
Bromley,1941,1444,7.28,0.71,0.03,0.03,0,20,0,0,,0,,150.15,216821,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,939,1841,1932
Bromley,1951,1841,7.52,0.91,0.04,0.03,0,20,0,0,,0,,150.15,276438,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,1133,1932,2027
Bromley,1961,1932,7.57,0.95,0.04,0.04,0,20,0,0,,0,,150.15,290065,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,1444,2027,1962
Bromley,1971,2027,7.61,1,0.04,0.04,0,20,0,0,,0,,150.15,304414,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932,1841,1962,1963
Bromley,1981,1962,7.58,0.97,0.04,0.04,0,20,0,0,,0,,150.15,294547,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027,1932,1963,1968
Bromley,1991,1963,7.58,0.97,0.04,0.04,0,20,0,0,,0,,150.15,294723,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,2027,1968,0
Bromley,2001,1968,7.58,0.97,0.04,0.04,0,20,0,0,,0,,150.15,295530,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963,1962,0,0
Camden,1801,4440,8.4,0.26,0.09,0.1,0,11,0,0,,0,,21.8,96795,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5722,7251
Camden,1811,5722,8.65,0.33,0.11,0.1,0,11,0,0,,0,,21.8,124741,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4440,0,7251,8818
Camden,1821,7251,8.89,0.42,0.14,0.11,0,11,0,0,,0,,21.8,158077,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5722,4440,8818,10502
Camden,1831,8818,9.08,0.51,0.17,0.11,0,11,0,0,,0,,21.8,192228,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7251,5722,10502,12394
Camden,1841,10502,9.26,0.61,0.21,0.12,0,11,0,0,,0,,21.8,228950,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8818,7251,12394,13826
Camden,1851,12394,9.42,0.72,0.24,0.12,0,11,0,0,,0,,21.8,270197,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10502,8818,13826,15258
Camden,1861,13826,9.53,0.8,0.27,0.1,0,11,0,0,,0,,21.8,301408,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394,10502,15258,16689
Camden,1871,15258,9.63,0.88,0.3,0.09,0,11,4,4,,0.1834862,,21.8,332619,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1684645,13826,12394,16689,17271
Camden,1881,16689,9.72,0.97,0.33,0.08,0,11,3,7,,0.3211009,,21.8,363830,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2784654,15258,13826,17271,16632
Camden,1891,17271,9.76,1,0.34,0.07,0,11,0,7,,0.3211009,,21.8,376500,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2784654,16689,15258,16632,16018
Camden,1901,16632,9.72,0.96,0.33,0.06,0,11,2,9,,0.412844,,21.8,362581,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3456047,17271,16689,16018,15386
Camden,1911,16018,9.68,0.93,0.31,0.05,0,11,13,22,,1.009174,,21.8,349184,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6977239,16632,17271,15386,14780
Camden,1921,15386,9.64,0.89,0.3,0.04,0,11,0,22,,1.009174,,21.8,335408,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6977239,16018,16632,14780,13163
Camden,1931,14780,9.6,0.86,0.29,0.04,0,11,0,22,,1.009174,,21.8,322212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6977239,15386,16018,13163,11723
Camden,1941,13163,9.49,0.76,0.26,0.04,0,11,3,25,,1.146789,,21.8,286956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7639732,14780,15386,11723,10603
Camden,1951,11723,9.37,0.68,0.23,0.03,0,11,0,25,,1.146789,,21.8,255558,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7639732,13163,14780,10603,9592
Camden,1961,10603,9.27,0.61,0.21,0.03,0,11,0,25,,1.146789,,21.8,231143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7639732,11723,13163,9592,7390
Camden,1971,9592,9.17,0.56,0.19,0.03,0,11,3,28,,1.284404,,21.8,209097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826105,10603,11723,7390,8325
Camden,1981,7390,8.91,0.43,0.14,0.02,0,11,0,28,,1.284404,,21.8,161100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826105,9592,10603,8325,9084
Camden,1991,8325,9.03,0.48,0.16,0.03,0,11,0,28,,1.284404,,21.8,181489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826105,7390,9592,9084,0
Camden,2001,9084,9.11,0.53,0.18,0.03,0,11,0,28,,1.284404,,21.8,198027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826105,8325,7390,0,0
City of London,1801,50045,10.82,0.98,0.98,0.13,0,1,0,0,,0,,2.6,130117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47278,48862
City of London,1811,47278,10.76,0.93,0.93,0.1,0,1,0,0,,0,,2.6,122924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50045,0,48862,48213
City of London,1821,48862,10.8,0.96,0.96,0.09,0,1,0,0,,0,,2.6,127040,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47278,50045,48213,49044
City of London,1831,48213,10.78,0.94,0.94,0.07,0,1,0,0,,0,,2.6,125353,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48862,47278,49044,51052
City of London,1841,49044,10.8,0.96,0.96,0.07,0,1,0,0,,0,,2.6,127514,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48213,48862,51052,41568
City of London,1851,51052,10.84,1,1,0.06,0,1,0,0,,0,,2.6,132734,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49044,48213,41568,32085
City of London,1861,41568,10.64,0.81,0.81,0.03,0,1,0,0,,0,,2.6,108078,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51052,49044,32085,22602
City of London,1871,32085,10.38,0.63,0.63,0.02,0,1,6,6,,2.307692,,2.6,83421,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.196251,41568,51052,22602,16878
City of London,1881,22602,10.03,0.44,0.44,0.01,0,1,2,8,,3.076923,,2.6,58764,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.405343,32085,41568,16878,12557
City of London,1891,16878,9.73,0.33,0.33,0.01,0,1,4,12,,4.615385,,2.6,43882,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72551,22602,32085,12557,9343
City of London,1901,12557,9.44,0.25,0.25,0.01,0,1,4,16,,6.153846,,2.6,32649,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96765,16878,22602,9343,7525
City of London,1911,9343,9.14,0.18,0.18,0,0,1,0,16,,6.153846,,2.6,24292,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96765,12557,16878,7525,6061
City of London,1921,7525,8.93,0.15,0.15,0,0,1,1,17,,6.538462,,2.6,19564,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.020018,9343,12557,6061,4200
City of London,1931,6061,8.71,0.12,0.12,0,0,1,0,17,,6.538462,,2.6,15758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.020018,7525,9343,4200,2911
City of London,1941,4200,8.34,0.08,0.08,0,0,1,1,18,,6.923077,,2.6,10920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06978,6061,7525,2911,2199
City of London,1951,2911,7.98,0.06,0.06,0,0.01,1,0,18,,6.923077,,2.6,7568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06978,4200,6061,2199,1663
City of London,1961,2199,7.7,0.04,0.04,0,0.01,1,0,18,,6.923077,,2.6,5718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06978,2911,4200,1663,1770
City of London,1971,1663,7.42,0.03,0.03,0,0.01,1,0,18,,6.923077,,2.6,4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06978,2199,2911,1770,1485
City of London,1981,1770,7.48,0.03,0.03,0,0.01,1,0,18,,6.923077,,2.6,4603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06978,1663,2199,1485,2764
City of London,1991,1485,7.3,0.03,0.03,0,0.01,1,0,18,,6.923077,,2.6,3861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06978,1770,1663,2764,0
City of London,2001,2764,7.92,0.05,0.05,0,0.01,1,0,18,,6.923077,,2.6,7186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06978,1485,1770,0,0
Croydon,1801,78,4.36,0.02,0,0.01,0,19,0,0,,0,,86.52,6742,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,122
Croydon,1811,103,4.63,0.03,0,0.01,0,19,0,0,,0,,86.52,8911,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,122,162
Croydon,1821,122,4.81,0.03,0,0.01,0,19,0,0,,0,,86.52,10567,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,78,162,215
Croydon,1831,162,5.09,0.04,0,0.01,0,19,0,0,,0,,86.52,14031,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,103,215,253
Croydon,1841,215,5.37,0.06,0,0.01,0,19,0,0,,0,,86.52,18638,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,122,253,488
Croydon,1851,253,5.53,0.07,0,0.01,0,19,0,0,,0,,86.52,21849,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,162,488,723
Croydon,1861,488,6.19,0.13,0.01,0.01,0,19,0,0,,0,,86.52,42197,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,215,723,958
Croydon,1871,723,6.58,0.19,0.01,0.02,0,19,0,0,,0,,86.52,62545,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,253,958,1252
Croydon,1881,958,6.86,0.25,0.02,0.02,0,19,0,0,,0,,86.52,82893,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,488,1252,1640
